key,ts,value
battery_level,1449558060.77,100
battery_level,1449601695.13,100
battery_level,1449603206.02,100
battery_level,1449605180.37,100
battery_level,1449608191.85,99
battery_level,1449610282.99,99
battery_level,1449612189.23,98
battery_level,1449614367.26,98
battery_level,1449617886.28,97
battery_level,1449619630.60,97
battery_level,1449621722.65,96
battery_level,1449624944.34,96
battery_level,1449627282.61,96
battery_level,1449628585.42,95
battery_level,1449632446.08,95
battery_level,1449634259.89,94
battery_level,1449636145.03,94
battery_level,1449641449.52,94
battery_level,1449643871.68,93
battery_level,1449645191.72,92

